player_name,player_id,bet_type,over_prob,under_prob,adj_over_prob,adj_under_prob,over_odds,under_odds,line,teamName,teamId,opponentTeamName,overKellyStake,underKellyStake,overEV,underEV,bankroll,gameId,dateStart,lineTime,calculatedAt,profit
Domantas Sabonis,463,player_assists,0.38,0.63,0.49,0.51,105,-135,6.50,Sacramento Kings,30,Denver Nuggets,0.76,0.00,0.00,-0.00,1000,14740,2025-01-24T02:10:00Z,2025-01-24T02:05:18Z,2025-10-10T06:39:30.096796,0.80
De'Aaron Fox,776,player_assists,0.38,0.63,0.49,0.51,114,-145,6.50,Sacramento Kings,30,Denver Nuggets,39.24,0.00,1.76,-0.00,1000,14740,2025-01-24T02:10:00Z,2025-01-24T02:05:18Z,2025-10-10T06:39:30.100992,-39.24
Malik Monk,842,player_assists,0.64,0.35,0.51,0.49,-154,120,5.50,Sacramento Kings,30,Denver Nuggets,0.00,55.95,-0.00,3.76,1000,14740,2025-01-24T02:10:00Z,2025-01-24T02:05:18Z,2025-10-10T06:39:30.105108,-55.95
Aaron Gordon,195,player_points,0.49,0.51,0.50,0.50,-130,100,9.50,Denver Nuggets,9,Sacramento Kings,0.00,0.84,-0.00,0.00,1000,14740,2025-01-24T02:10:00Z,2025-01-24T02:05:18Z,2025-10-10T06:39:30.157951,0.84
Keon Ellis,3436,player_points,0.46,0.54,0.50,0.50,105,-135,7.50,Sacramento Kings,30,Denver Nuggets,19.60,0.00,0.40,-0.00,1000,14740,2025-01-24T02:10:00Z,2025-01-24T02:05:18Z,2025-10-10T06:39:30.170609,-19.60
Domantas Sabonis,463,player_points_assists,0.59,0.50,0.50,0.50,-135,105,24.50,Sacramento Kings,30,Denver Nuggets,0.00,23.81,-0.00,0.60,1000,14740,2025-01-24T02:10:00Z,2025-01-24T02:05:18Z,2025-10-10T06:39:30.193435,-23.81
Domantas Sabonis,463,player_points_rebounds,0.50,1.00,0.50,0.52,-125,-105,31.50,Sacramento Kings,30,Denver Nuggets,0.00,25.75,-0.00,0.63,1000,14740,2025-01-24T02:10:00Z,2025-01-24T02:05:18Z,2025-10-10T06:39:30.215256,-25.75
DeMar DeRozan,136,player_points_rebounds,0.50,1.00,0.50,0.52,-120,-110,24.50,Sacramento Kings,30,Denver Nuggets,0.00,1.99,-0.00,0.00,1000,14740,2025-01-24T02:10:00Z,2025-01-24T02:05:18Z,2025-10-10T06:39:30.224315,-1.99
Aaron Gordon,195,player_points_rebounds,0.51,0.50,0.50,0.50,-135,105,13.50,Denver Nuggets,9,Sacramento Kings,0.00,23.87,-0.00,0.60,1000,14740,2025-01-24T02:10:00Z,2025-01-24T02:05:18Z,2025-10-10T06:39:30.249649,25.06
Aaron Gordon,195,player_points_rebounds_assists,0.57,0.56,0.50,0.50,-130,100,15.50,Denver Nuggets,9,Sacramento Kings,0.00,0.43,-0.00,0.00,1000,14740,2025-01-24T02:10:00Z,2025-01-24T02:05:18Z,2025-10-10T06:39:30.295781,0.43
