player_name,player_id,bet_type,over_prob,under_prob,adj_over_prob,adj_under_prob,over_odds,under_odds,line,teamName,teamId,opponentTeamName,overKellyStake,underKellyStake,overEV,underEV,bankroll,gameId,dateStart,lineTime,calculatedAt
DeMar DeRozan,136,player_assists,0.57,0.49,0.51,0.50,-188.00,145.00,3.50,Sacramento Kings,30,Portland Trail Blazers,0.00,76.92,-0.00,17.16,500,15279,2026-01-19T02:12:00Z,2026-01-19T02:12:00Z,2026-01-19T03:01:17.191830
Dennis Schroder,472,player_assists,0.57,0.49,0.51,0.50,-160.00,124.00,3.50,Detroit Pistons,10,Portland Trail Blazers,0.00,47.68,-0.00,5.64,500,15388,2026-01-19T02:12:00Z,2026-01-19T02:12:00Z,2026-01-19T03:01:17.198001
Donovan Clingan,4164,player_assists,0.42,0.60,0.49,0.51,180.00,-238.00,3.50,Portland Trail Blazers,29,Sacramento Kings,103.94,0.00,38.89,-0.00,500,15236,2026-01-19T02:12:00Z,2026-01-19T02:12:00Z,2026-01-19T03:01:17.203589
Toumani Camara,4015,player_assists,0.42,0.56,0.49,0.51,105.00,-135.00,2.50,Portland Trail Blazers,29,Sacramento Kings,2.90,0.00,0.02,-0.00,500,15253,2026-01-19T02:12:00Z,2026-01-19T02:12:00Z,2026-01-19T03:01:17.208819
Zach LaVine,308,player_assists,0.42,0.56,0.49,0.51,110.00,-140.00,2.50,Sacramento Kings,30,Portland Trail Blazers,14.29,0.00,0.45,-0.00,500,15279,2026-01-19T02:12:00Z,2026-01-19T02:12:00Z,2026-01-19T03:01:17.213517
Deni Avdija,2564,player_rebounds,0.58,0.45,0.51,0.49,-154.00,120.00,7.50,Portland Trail Blazers,29,Sacramento Kings,0.00,34.85,-0.00,2.92,500,15236,2026-01-19T02:12:00Z,2026-01-19T02:12:00Z,2026-01-19T03:01:17.313622
Shaedon Sharpe,3487,player_rebounds,0.58,0.45,0.51,0.49,-160.00,124.00,4.50,Portland Trail Blazers,29,Sacramento Kings,0.00,41.67,-0.00,4.31,500,15276,2026-01-19T02:12:00Z,2026-01-19T02:12:00Z,2026-01-19T03:01:17.322124
Toumani Camara,4015,player_rebounds,0.57,0.45,0.51,0.49,-145.00,114.00,3.50,Portland Trail Blazers,29,Sacramento Kings,0.00,23.73,-0.00,1.28,500,15276,2026-01-19T02:12:00Z,2026-01-19T02:12:00Z,2026-01-19T03:01:17.324950
Russell Westbrook,544,player_rebounds,0.55,0.45,0.51,0.49,-140.00,110.00,3.50,Denver Nuggets,9,Portland Trail Blazers,0.00,15.63,-0.00,0.54,500,15441,2026-01-19T02:12:00Z,2026-01-19T02:12:00Z,2026-01-19T03:01:17.327911
Dennis Schroder,472,player_rebounds,0.36,0.63,0.48,0.52,170.00,-220.00,2.50,Detroit Pistons,10,Portland Trail Blazers,86.68,0.00,25.55,-0.00,500,15388,2026-01-19T02:12:00Z,2026-01-19T02:12:00Z,2026-01-19T03:01:17.330748
Deni Avdija,2564,player_threes,0.30,0.82,0.46,0.56,130.00,-166.00,3.50,Portland Trail Blazers,29,Sacramento Kings,22.87,0.00,1.36,-0.00,500,15236,2026-01-19T02:12:00Z,2026-01-19T02:12:00Z,2026-01-19T03:01:17.336845
Russell Westbrook,544,player_threes,0.63,0.40,0.53,0.48,-166.00,130.00,2.50,Denver Nuggets,9,Portland Trail Blazers,0.00,40.28,-0.00,4.22,500,15441,2026-01-19T02:12:00Z,2026-01-19T02:12:00Z,2026-01-19T03:01:17.339886
Shaedon Sharpe,3487,player_threes,0.63,0.40,0.53,0.48,-220.00,170.00,1.50,Portland Trail Blazers,29,Sacramento Kings,0.00,87.31,-0.00,25.92,500,15276,2026-01-19T02:12:00Z,2026-01-19T02:12:00Z,2026-01-19T03:01:17.345728
