bet_type,player_name,overKellyStake,underKellyStake,line,over_odds,under_odds,teamName,opponentTeamName,dateStart,calculatedAt
player_assists,Donovan Mitchell,0.00,21.98,5.50,-140.00,110.00,Cleveland Cavaliers,Oklahoma City Thunder,2026-01-19T19:43:00Z,2026-01-19T20:52:24.615572
player_assists,Isaiah Collier,0.00,8.17,6.50,-130.00,-101.00,Utah Jazz,San Antonio Spurs,2026-01-19T22:10:00Z,2026-01-19T20:52:25.112017
player_assists,De'Aaron Fox,0.00,37.41,5.50,-155.00,118.00,San Antonio Spurs,Utah Jazz,2026-01-19T22:10:00Z,2026-01-19T20:52:25.114884
player_assists,Victor Wembanyama,45.25,0.00,3.50,127.00,-168.00,San Antonio Spurs,Utah Jazz,2026-01-19T22:10:00Z,2026-01-19T20:52:25.120627
player_assists,Tyrese Maxey,0.00,2.65,6.50,-130.00,-101.00,Philadelphia 76ers,Indiana Pacers,2026-01-20T00:10:00Z,2026-01-19T20:52:25.424143
player_assists,T.J. McConnell,0.00,42.67,4.50,-159.00,121.00,Indiana Pacers,Philadelphia 76ers,2026-01-20T00:10:00Z,2026-01-19T20:52:25.426987
player_assists,Joel Embiid,0.00,42.53,3.50,-152.00,115.00,Philadelphia 76ers,Indiana Pacers,2026-01-20T00:10:00Z,2026-01-19T20:52:25.429822
player_assists,Pascal Siakam,0.00,24.03,3.50,-146.00,111.00,Indiana Pacers,Philadelphia 76ers,2026-01-20T00:10:00Z,2026-01-19T20:52:25.432837
player_assists,Royce O'Neale,0.00,29.96,2.50,-150.00,114.00,Phoenix Suns,Brooklyn Nets,2026-01-20T00:40:00Z,2026-01-19T20:52:25.592551
player_assists,Jalen Green,24.35,0.00,2.50,115.00,-152.00,Houston Rockets,Brooklyn Nets,2026-01-20T00:40:00Z,2026-01-19T20:52:25.598241
player_assists,Noah Clowney,0.00,74.37,1.50,-183.00,138.00,Brooklyn Nets,Phoenix Suns,2026-01-20T00:40:00Z,2026-01-19T20:52:25.601209
player_assists,Dillon Brooks,0.00,4.12,1.50,-135.00,102.00,Houston Rockets,Brooklyn Nets,2026-01-20T00:40:00Z,2026-01-19T20:52:25.604048
player_assists,Mark Williams,23.99,0.00,1.50,115.00,-151.00,Charlotte Hornets,Brooklyn Nets,2026-01-20T00:40:00Z,2026-01-19T20:52:25.606913
