iter	Logloss
0	0.6927372285
1	0.6924003969
2	0.6919793191
3	0.691585691
4	0.6912010231
5	0.6908636353
6	0.6904893281
7	0.6901725636
8	0.6898109179
9	0.6894755299
10	0.6891671439
11	0.6888247427
12	0.6884866331
13	0.6881479836
14	0.6878408255
15	0.6875207257
16	0.6872619326
17	0.6869561202
18	0.6866926659
19	0.6864143418
20	0.6861065091
21	0.685854
22	0.6855423119
23	0.6853022747
24	0.6850752509
25	0.6848529296
26	0.6845729334
27	0.6843204533
28	0.6840928211
29	0.6838648681
30	0.6836225359
31	0.6834146881
32	0.6831842753
33	0.6829464409
34	0.6827147588
35	0.6824940401
36	0.6822743938
37	0.6820564202
38	0.6818627748
39	0.6816628897
40	0.6814537005
41	0.6812768354
42	0.6810704189
43	0.6808847878
44	0.6806859882
45	0.6804788278
46	0.6802671932
47	0.6801156818
48	0.6799240661
49	0.6797899341
50	0.6796293293
51	0.6794574258
52	0.6792764792
53	0.6791481997
54	0.6789837238
55	0.6788132248
