iter	Passed	Remaining
0	16	3249
1	40	3983
2	54	3582
3	70	3446
4	109	4278
5	128	4163
6	148	4086
7	161	3880
8	199	4223
9	226	4298
10	248	4261
11	286	4492
12	309	4449
13	338	4492
14	361	4453
15	372	4283
16	409	4407
17	431	4367
18	451	4302
19	483	4355
20	513	4380
21	550	4450
22	562	4325
23	588	4316
24	608	4257
25	637	4263
26	656	4208
27	688	4226
28	713	4206
29	726	4117
30	755	4119
31	779	4092
32	801	4057
33	814	3978
34	873	4120
35	893	4071
36	923	4070
37	943	4022
38	987	4074
39	1013	4053
40	1039	4030
41	1090	4101
42	1115	4074
43	1148	4070
44	1215	4187
45	1232	4125
46	1245	4054
47	1265	4007
48	1284	3959
49	1316	3948
50	1385	4048
51	1399	3984
52	1419	3938
53	1465	3962
54	1494	3940
55	1512	3888
56	1537	3858
57	1571	3848
58	1606	3838
59	1621	3784
60	1640	3738
61	1651	3676
62	1667	3626
63	1682	3576
64	1708	3547
65	1722	3497
66	1739	3452
67	1751	3399
68	1777	3375
69	1794	3331
70	1814	3296
71	1840	3272
72	1858	3233
73	1878	3198
