player_name,player_id,bet_type,over_prob,under_prob,adj_over_prob,adj_under_prob,over_odds,under_odds,line,teamName,teamId,opponentTeamName,overKellyStake,underKellyStake,overEV,underEV,bankroll,gameId,dateStart,lineTime,calculatedAt
Russell Westbrook,544,player_assists,0.5595567867036011,0.44161545215100967,0.5069380803242134,0.49319847988634546,-135.0,105.0,10.5,Denver Nuggets,9,Memphis Grizzlies,0.0,10.530365492388759,-0.0,0.11643302727345654,1000,15441,2025-12-01T02:10:00Z,2025-12-01T02:10:00Z,2025-12-01T02:39:01.259142
Santi Aldama,2786,player_assists,0.403954802259887,0.6011730205278593,0.4888111946000006,0.5117861721882174,124.0,-160.0,4.5,Memphis Grizzlies,19,Sacramento Kings,76.56215798709795,0.0,7.26858740419527,-0.0,1000,15407,2025-12-01T02:10:00Z,2025-12-01T02:10:00Z,2025-12-01T02:39:01.273354
DeMar DeRozan,136,player_assists,0.425,0.6011730205278593,0.4912628593126475,0.5117861721882174,130.0,-166.0,3.5,Sacramento Kings,30,Memphis Grizzlies,99.92659724545335,0.0,12.98092228817156,-0.0,1000,15279,2025-12-01T02:10:00Z,2025-12-01T02:10:00Z,2025-12-01T02:39:01.292155
Zach LaVine,308,player_assists,0.574585635359116,0.44161545215100967,0.5086888691918422,0.49319847988634546,-180.0,140.0,2.5,Sacramento Kings,30,Memphis Grizzlies,0.0,131.1973940908779,-0.0,24.097858702731976,1000,15279,2025-12-01T02:10:00Z,2025-12-01T02:10:00Z,2025-12-01T02:39:01.299533
Keegan Murray,3475,player_assists,0.403954802259887,0.6011730205278593,0.4888111946000006,0.5117861721882174,145.0,-188.0,2.5,Sacramento Kings,30,Memphis Grizzlies,136.26719087586312,0.0,26.924683598338422,-0.0,1000,15232,2025-12-01T02:10:00Z,2025-12-01T02:10:00Z,2025-12-01T02:39:01.308352
Jaylen Wells,4133,player_assists,0.403954802259887,0.6011730205278593,0.4888111946000006,0.5117861721882174,135.0,-175.0,1.5,Memphis Grizzlies,19,Sacramento Kings,110.15282022963079,0.0,16.380419136130833,-0.0,1000,15214,2025-12-01T02:10:00Z,2025-12-01T02:10:00Z,2025-12-01T02:39:01.316902
Russell Westbrook,544,player_rebounds,0.6818181818181818,0.4444444444444444,0.5265521085127122,0.49188685573222685,-135.0,105.0,8.5,Denver Nuggets,9,Memphis Grizzlies,0.0,7.969575477204883,-0.0,0.06668983995120871,1000,15441,2025-12-01T02:10:00Z,2025-12-01T02:10:00Z,2025-12-01T02:39:01.523225
Keegan Murray,3475,player_rebounds,0.8,0.425,0.5438109790459751,0.48904725523850623,-145.0,114.0,5.5,Sacramento Kings,30,Memphis Grizzlies,0.0,40.843093167020456,-0.0,1.9017004157729007,1000,15232,2025-12-01T02:10:00Z,2025-12-01T02:10:00Z,2025-12-01T02:39:01.532327
Kentavious Caldwell-Pope,89,player_rebounds,0.3466666666666667,0.6327014218009477,0.477607721820946,0.5193792640329747,145.0,-188.0,2.5,Orlando Magic,26,Sacramento Kings,117.33718514573634,0.0,19.963621775990973,-0.0,1000,15381,2025-12-01T02:10:00Z,2025-12-01T02:10:00Z,2025-12-01T02:39:01.589472
Zach LaVine,308,player_threes,0.3076923076923077,0.6107142857142858,0.4629246797180575,0.5213447915337469,135.0,-175.0,3.5,Sacramento Kings,30,Memphis Grizzlies,65.09110913884085,0.0,5.719750860048062,-0.0,1000,15279,2025-12-01T02:10:00Z,2025-12-01T02:10:00Z,2025-12-01T02:39:01.607773
