points,opponent.points,opponent.team_id,home,last_ten_w_prc,w_prc,games_played,opponent.points0,opponent.points1,opponent.points2,opponent.points3,opponent.points4,opponent.min0,opponent.min1,opponent.min2,opponent.min3,opponent.min4,opponent.fgm0,opponent.fgm1,opponent.fgm2,opponent.fgm3,opponent.fgm4,opponent.fga0,opponent.fga1,opponent.fga2,opponent.fga3,opponent.fga4,opponent.fgp0,opponent.fgp1,opponent.fgp2,opponent.fgp3,opponent.fgp4,opponent.ftm0,opponent.ftm1,opponent.ftm2,opponent.ftm3,opponent.ftm4,opponent.fta0,opponent.fta1,opponent.fta2,opponent.fta3,opponent.fta4,opponent.ftp0,opponent.ftp1,opponent.ftp2,opponent.ftp3,opponent.ftp4,opponent.tpm0,opponent.tpm1,opponent.tpm2,opponent.tpm3,opponent.tpm4,opponent.tpa0,opponent.tpa1,opponent.tpa2,opponent.tpa3,opponent.tpa4,opponent.tpp0,opponent.tpp1,opponent.tpp2,opponent.tpp3,opponent.tpp4,opponent.offReb0,opponent.offReb1,opponent.offReb2,opponent.offReb3,opponent.offReb4,opponent.defReb0,opponent.defReb1,opponent.defReb2,opponent.defReb3,opponent.defReb4,opponent.totReb0,opponent.totReb1,opponent.totReb2,opponent.totReb3,opponent.totReb4,opponent.assists0,opponent.assists1,opponent.assists2,opponent.assists3,opponent.assists4,opponent.pFouls0,opponent.pFouls1,opponent.pFouls2,opponent.pFouls3,opponent.pFouls4,opponent.steals0,opponent.steals1,opponent.steals2,opponent.steals3,opponent.steals4,opponent.turnovers0,opponent.turnovers1,opponent.turnovers2,opponent.turnovers3,opponent.turnovers4,opponent.blocks0,opponent.blocks1,opponent.blocks2,opponent.blocks3,opponent.blocks4,opponent.plusMinus0,opponent.plusMinus1,opponent.plusMinus2,opponent.plusMinus3,opponent.plusMinus4,points0,points1,points2,points3,points4,min0,min1,min2,min3,min4,fgm0,fgm1,fgm2,fgm3,fgm4,fga0,fga1,fga2,fga3,fga4,fgp0,fgp1,fgp2,fgp3,fgp4,ftm0,ftm1,ftm2,ftm3,ftm4,fta0,fta1,fta2,fta3,fta4,ftp0,ftp1,ftp2,ftp3,ftp4,tpm0,tpm1,tpm2,tpm3,tpm4,tpa0,tpa1,tpa2,tpa3,tpa4,tpp0,tpp1,tpp2,tpp3,tpp4,offReb0,offReb1,offReb2,offReb3,offReb4,defReb0,defReb1,defReb2,defReb3,defReb4,totReb0,totReb1,totReb2,totReb3,totReb4,assists0,assists1,assists2,assists3,assists4,pFouls0,pFouls1,pFouls2,pFouls3,pFouls4,steals0,steals1,steals2,steals3,steals4,turnovers0,turnovers1,turnovers2,turnovers3,turnovers4,blocks0,blocks1,blocks2,blocks3,blocks4,plusMinus0,plusMinus1,plusMinus2,plusMinus3,plusMinus4
114.0,107.0,2,1,1.0,1.0,1,7.0,3.0,15.0,1.0,11.0,14.0,4.0,26.0,10.0,27.0,3.0,1.0,5.0,0.0,5.0,5.0,4.0,9.0,3.0,12.0,60.0,25.0,55.6,0.0,41.7,1.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,33.3,0.0,100.0,50.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,7.0,0.0,5.0,0.0,33.3,42.9,0.0,20.0,4.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,5.0,4.0,1.0,3.0,4.0,8.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,2.0,1.0,12.0,6.0,10.0,11.0,10.0,16.0,22.0,23.0,13.0,6.0,1.0,2.0,5.0,3.0,4.0,6.0,6.0,6.0,4.0,5.0,16.7,33.3,83.3,75.0,80.0,9.0,0.0,0.0,4.0,1.0,9.0,0.0,3.0,4.0,2.0,100.0,0.0,0.0,100.0,50.0,1.0,2.0,0.0,1.0,1.0,5.0,5.0,0.0,2.0,1.0,20.0,40.0,0.0,50.0,100.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0,3.0,3.0,0.0,2.0,3.0,7.0,4.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,17.0,14.0,11.0,10.0,7.0
112.0,121.0,22,1,0.5,0.5,2,12.0,6.0,8.0,22.0,7.0,20.0,22.0,9.0,19.0,19.0,5.0,3.0,3.0,8.0,3.0,8.0,3.0,5.0,12.0,6.0,62.5,100.0,60.0,66.7,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,0.0,2.0,5.0,1.0,4.0,0.0,4.0,8.0,4.0,50.0,0.0,50.0,62.5,25.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,6.0,8.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,31.0,27.0,14.0,9.0,7.0,9.0,7.0,8.0,0.0,0.0,14.0,23.0,21.0,3.0,3.0,1.0,2.0,4.0,0.0,0.0,5.0,8.0,4.0,0.0,0.0,20.0,25.0,100.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,8.0,4.0,0.0,0.0,2.0,8.0,7.0,1.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,11.0,5.0,5.0,5.0
110.0,123.0,2,0,0.3333333333333333,0.3333333333333333,3,8.0,20.0,11.0,15.0,28.0,23.0,28.0,22.0,22.0,30.0,3.0,8.0,4.0,4.0,9.0,7.0,13.0,13.0,9.0,15.0,42.9,61.5,30.8,44.4,60.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,100.0,100.0,2.0,4.0,3.0,3.0,5.0,4.0,8.0,10.0,7.0,8.0,50.0,50.0,30.0,42.9,62.5,2.0,2.0,0.0,2.0,1.0,1.0,6.0,1.0,0.0,7.0,3.0,8.0,1.0,2.0,8.0,3.0,0.0,4.0,2.0,4.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,17.0,14.0,14.0,10.0,9.0,22.0,12.0,15.0,2.0,0.0,26.0,21.0,25.0,32.0,2.0,7.0,5.0,3.0,1.0,0.0,13.0,6.0,12.0,2.0,0.0,53.8,83.3,25.0,50.0,0.0,1.0,2.0,6.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,12.0,0.0,10.0,0.0,0.0,58.3,0.0,30.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,3.0,3.0,8.0,0.0,2.0,7.0,3.0,10.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,-1.0,-2.0,-3.0
106.0,131.0,41,1,0.25,0.25,4,8.0,13.0,2.0,20.0,7.0,21.0,16.0,12.0,25.0,18.0,3.0,6.0,1.0,7.0,3.0,6.0,8.0,5.0,10.0,6.0,50.0,75.0,20.0,70.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0,1.0,0.0,5.0,1.0,5.0,3.0,3.0,7.0,3.0,40.0,33.3,0.0,71.4,33.3,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,7.0,2.0,1.0,4.0,1.0,8.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,24.0,23.0,13.0,12.0,10.0,5.0,12.0,12.0,3.0,0.0,17.0,24.0,25.0,3.0,4.0,1.0,6.0,3.0,1.0,0.0,4.0,9.0,12.0,1.0,2.0,25.0,66.7,25.0,100.0,0.0,2.0,0.0,5.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,66.7,0.0,83.3,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,5.0,1.0,2.0,25.0,0.0,20.0,100.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,11.0,6.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,-2.0,-5.0
104.0,108.0,2,1,0.2,0.2,5,30.0,11.0,12.0,0.0,9.0,38.0,38.0,32.0,14.0,35.0,8.0,4.0,4.0,0.0,4.0,15.0,11.0,6.0,4.0,10.0,53.3,36.4,66.7,0.0,40.0,9.0,3.0,3.0,0.0,0.0,10.0,4.0,4.0,0.0,0.0,90.0,75.0,75.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,9.0,4.0,3.0,4.0,5.0,55.6,0.0,33.3,0.0,20.0,1.0,0.0,0.0,0.0,2.0,7.0,6.0,6.0,2.0,2.0,8.0,6.0,6.0,2.0,4.0,0.0,5.0,2.0,0.0,2.0,4.0,5.0,3.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,4.0,0.0,1.0,1.0,3.0,13.0,8.0,7.0,5.0,3.0,24.0,0.0,2.0,11.0,7.0,36.0,15.0,22.0,23.0,22.0,8.0,0.0,1.0,4.0,2.0,20.0,4.0,4.0,7.0,4.0,40.0,0.0,25.0,57.1,50.0,6.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,1.0,2.0,85.7,0.0,0.0,0.0,50.0,2.0,0.0,0.0,3.0,2.0,5.0,3.0,0.0,6.0,4.0,40.0,0.0,0.0,50.0,50.0,1.0,0.0,3.0,0.0,1.0,2.0,3.0,3.0,1.0,5.0,3.0,3.0,6.0,1.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,-1.0,-1.0
126.0,120.0,1,0,0.3333333333333333,0.3333333333333333,6,6.0,16.0,27.0,11.0,6.0,20.0,26.0,32.0,30.0,8.0,1.0,6.0,8.0,5.0,2.0,2.0,11.0,13.0,8.0,4.0,50.0,54.5,61.5,62.5,50.0,4.0,0.0,8.0,1.0,0.0,4.0,0.0,8.0,3.0,0.0,100.0,0.0,100.0,33.3,0.0,0.0,4.0,3.0,0.0,2.0,0.0,9.0,7.0,2.0,4.0,0.0,44.4,42.9,0.0,50.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,9.0,2.0,2.0,1.0,6.0,9.0,2.0,1.0,3.0,1.0,2.0,0.0,4.0,3.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,-1.0,-1.0,-4.0,31.0,7.0,6.0,17.0,26.0,33.0,38.0,25.0,34.0,34.0,11.0,2.0,2.0,4.0,9.0,21.0,6.0,6.0,10.0,15.0,52.4,33.3,33.3,40.0,60.0,1.0,3.0,0.0,6.0,5.0,2.0,4.0,0.0,8.0,6.0,50.0,75.0,0.0,75.0,83.3,8.0,0.0,2.0,3.0,3.0,12.0,0.0,5.0,7.0,5.0,66.7,0.0,40.0,42.9,60.0,0.0,6.0,1.0,2.0,1.0,3.0,7.0,0.0,10.0,2.0,3.0,13.0,1.0,12.0,3.0,5.0,1.0,1.0,9.0,6.0,1.0,1.0,3.0,3.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,13.0,11.0,8.0,7.0,6.0
87.0,96.0,23,0,0.2857142857142857,0.2857142857142857,7,12.0,24.0,2.0,3.0,0.0,30.0,28.0,22.0,26.0,16.0,4.0,12.0,1.0,1.0,0.0,11.0,17.0,7.0,8.0,1.0,36.4,70.6,14.3,12.5,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,3.0,8.0,0.0,28.6,0.0,0.0,12.5,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,3.0,6.0,7.0,2.0,3.0,3.0,0.0,2.0,0.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,11.0,11.0,8.0,7.0,0.0,2.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,27.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,2.0,9.0,0.0,33.3,100.0,100.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,6.0,0.0,0.0,100.0,100.0,16.7,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,-1.0
109.0,91.0,7,0,0.375,0.375,8,2.0,4.0,6.0,0.0,0.0,5.0,19.0,14.0,1.0,16.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,5.0,100.0,100.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,-1.0,-2.0,-3.0,-5.0,19.0,19.0,16.0,13.0,3.0,34.0,31.0,25.0,23.0,15.0,7.0,5.0,5.0,5.0,1.0,16.0,14.0,13.0,10.0,3.0,43.8,35.7,38.5,50.0,33.3,4.0,7.0,3.0,3.0,0.0,5.0,10.0,4.0,3.0,0.0,80.0,70.0,75.0,100.0,0.0,1.0,2.0,3.0,0.0,1.0,3.0,5.0,5.0,2.0,3.0,33.3,40.0,60.0,0.0,33.3,0.0,3.0,1.0,4.0,0.0,5.0,7.0,2.0,3.0,2.0,5.0,10.0,3.0,7.0,2.0,2.0,2.0,0.0,1.0,6.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,0.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,18.0,14.0,12.0,9.0
89.0,95.0,7,1,0.3333333333333333,0.3333333333333333,9,19.0,14.0,5.0,30.0,9.0,31.0,35.0,28.0,37.0,35.0,6.0,6.0,1.0,9.0,3.0,14.0,12.0,6.0,22.0,9.0,42.9,50.0,16.7,40.9,33.3,4.0,2.0,2.0,6.0,3.0,4.0,3.0,2.0,6.0,3.0,100.0,66.7,100.0,100.0,100.0,3.0,0.0,1.0,6.0,0.0,4.0,0.0,3.0,15.0,5.0,75.0,0.0,33.3,40.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,6.0,10.0,5.0,4.0,6.0,8.0,10.0,6.0,4.0,5.0,5.0,2.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,5.0,5.0,0.0,2.0,0.0,1.0,2.0,10.0,8.0,7.0,3.0,3.0,16.0,3.0,6.0,18.0,6.0,30.0,9.0,32.0,28.0,35.0,5.0,1.0,1.0,7.0,3.0,10.0,2.0,3.0,16.0,15.0,50.0,50.0,33.3,43.8,20.0,3.0,1.0,4.0,4.0,0.0,5.0,2.0,8.0,6.0,0.0,60.0,50.0,50.0,66.7,0.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,6.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,8.0,4.0,6.0,2.0,0.0,16.0,6.0,6.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,-1.0,-1.0,-4.0
105.0,110.0,21,0,0.2,0.3,10,22.0,0.0,13.0,14.0,0.0,36.0,22.0,13.0,24.0,12.0,6.0,0.0,5.0,5.0,0.0,10.0,2.0,7.0,8.0,1.0,60.0,0.0,71.4,62.5,0.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,53.8,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,3.0,1.0,5.0,6.0,0.0,100.0,0.0,60.0,66.7,0.0,1.0,0.0,1.0,0.0,0.0,7.0,3.0,1.0,6.0,0.0,8.0,3.0,2.0,6.0,0.0,6.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,6.0,5.0,3.0,3.0,17.0,45.0,6.0,4.0,14.0,34.0,42.0,36.0,18.0,22.0,6.0,17.0,2.0,2.0,5.0,11.0,30.0,9.0,3.0,10.0,54.5,56.7,22.2,66.7,50.0,0.0,9.0,2.0,0.0,3.0,0.0,11.0,2.0,0.0,3.0,0.0,81.8,100.0,0.0,100.0,5.0,2.0,0.0,0.0,1.0,10.0,8.0,4.0,0.0,3.0,50.0,25.0,0.0,0.0,33.3,0.0,2.0,2.0,1.0,0.0,4.0,3.0,8.0,2.0,3.0,4.0,5.0,10.0,3.0,3.0,2.0,4.0,5.0,0.0,1.0,3.0,3.0,4.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,-1.0,-1.0
