scores.visitors.points,scores.home.points,last_ten_w_prc,w_prc,games_played,points0,points1,points2,points3,points4,min0,min1,min2,min3,min4,fgm0,fgm1,fgm2,fgm3,fgm4,fga0,fga1,fga2,fga3,fga4,fgp0,fgp1,fgp2,fgp3,fgp4,ftm0,ftm1,ftm2,ftm3,ftm4,fta0,fta1,fta2,fta3,fta4,ftp0,ftp1,ftp2,ftp3,ftp4,tpm0,tpm1,tpm2,tpm3,tpm4,tpa0,tpa1,tpa2,tpa3,tpa4,tpp0,tpp1,tpp2,tpp3,tpp4,offReb0,offReb1,offReb2,offReb3,offReb4,defReb0,defReb1,defReb2,defReb3,defReb4,totReb0,totReb1,totReb2,totReb3,totReb4,assists0,assists1,assists2,assists3,assists4,pFouls0,pFouls1,pFouls2,pFouls3,pFouls4,steals0,steals1,steals2,steals3,steals4,turnovers0,turnovers1,turnovers2,turnovers3,turnovers4,blocks0,blocks1,blocks2,blocks3,blocks4,plusMinus0,plusMinus1,plusMinus2,plusMinus3,plusMinus4
107.0,114.0,1.0,1.0,1,12,6,10,11,10,16,22,23,13,6,1,2,5,3,4,6,6,6,4,5,16.7,33.3,83.3,75.0,80.0,9,0,0,4,1,9,0,3,4,2,100.0,0,0,100.0,50.0,1,2,0,1,1,5,5,0,2,1,20.0,40.0,0,50.0,100.0,0,0,4,1,0,2,3,3,3,0,2,3,7,4,0,2,4,0,0,1,0,0,0,0,0,0,1,2,0,0,0,3,0,1,0,0,0,3,0,0,17.0,14.0,11.0,10.0,7.0
121.0,112.0,0.5,0.5,2,9,7,8,0,0,14,23,21,3,3,1,2,4,0,0,5,8,4,0,0,20.0,25.0,100.0,0,0,7,1,0,0,0,7,4,0,0,0,100.0,25.0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,40.0,0,0,0,0,0,3,1,0,2,8,4,0,0,2,8,7,1,0,4,4,0,1,0,0,2,4,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,15.0,11.0,5.0,5.0,5.0
110.0,123.0,0.3333333333333333,0.3333333333333333,3,22,12,15,2,0,26,21,25,32,2,7,5,3,1,0,13,6,12,2,0,53.8,83.3,25.0,50.0,0,1,2,6,0,0,2,4,6,0,0,50.0,50.0,100.0,0,0,7,0,3,0,0,12,0,10,0,0,58.3,0,30.0,0,0,0,4,0,2,0,2,3,3,8,0,2,7,3,10,0,3,1,3,3,0,0,0,3,1,0,1,3,1,1,0,0,0,6,2,0,0,0,0,3,0,6.0,2.0,-1.0,-2.0,-3.0
131.0,106.0,0.25,0.25,4,5,12,12,3,0,17,24,25,3,4,1,6,3,1,0,4,9,12,1,2,25.0,66.7,25.0,100.0,0,2,0,5,0,0,3,2,6,0,0,66.7,0,83.3,0,0,1,0,1,1,0,4,0,5,1,2,25.0,0,20.0,100.0,0,0,6,2,0,0,0,5,4,1,0,0,11,6,1,0,1,0,5,0,1,3,0,2,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,4.0,2.0,0.0,-2.0,-5.0
108.0,104.0,0.2,0.2,5,24,0,2,11,7,36,15,22,23,22,8,0,1,4,2,20,4,4,7,4,40.0,0,25.0,57.1,50.0,6,0,0,0,1,7,0,2,1,2,85.7,0,0,0,50.0,2,0,0,3,2,5,3,0,6,4,40.0,0,0,50.0,50.0,1,0,3,0,1,2,3,3,1,5,3,3,6,1,6,2,2,1,0,0,0,1,4,2,1,1,0,2,0,0,2,0,1,0,1,0,0,0,0,0,6.0,5.0,1.0,-1.0,-1.0
126.0,120.0,0.3333333333333333,0.3333333333333333,6,31,7,6,17,26,33,38,25,34,34,11,2,2,4,9,21,6,6,10,15,52.4,33.3,33.3,40.0,60.0,1,3,0,6,5,2,4,0,8,6,50.0,75.0,0,75.0,83.3,8,0,2,3,3,12,0,5,7,5,66.7,0,40.0,42.9,60.0,0,6,1,2,1,3,7,0,10,2,3,13,1,12,3,5,1,1,9,6,1,1,3,3,2,0,4,0,0,1,1,1,1,3,3,0,4,0,0,0,13.0,11.0,8.0,7.0,6.0
87.0,96.0,0.2857142857142857,0.2857142857142857,7,0,2,3,5,5,5,5,3,3,27,0,1,1,2,2,0,3,1,2,9,0,33.3,100.0,100.0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1,6,0,0,100.0,100.0,16.7,0,0,0,0,0,3,1,0,1,2,3,1,0,1,2,0,1,1,0,1,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,10.0,10.0,10.0,10.0,-1.0
109.0,91.0,0.375,0.375,8,19,19,16,13,3,34,31,25,23,15,7,5,5,5,1,16,14,13,10,3,43.8,35.7,38.5,50.0,33.3,4,7,3,3,0,5,10,4,3,0,80.0,70.0,75.0,100.0,0,1,2,3,0,1,3,5,5,2,3,33.3,40.0,60.0,0,33.3,0,3,1,4,0,5,7,2,3,2,5,10,3,7,2,2,2,0,1,6,1,1,2,3,3,2,1,0,2,1,5,1,1,1,1,0,0,0,1,0,21.0,18.0,14.0,12.0,9.0
95.0,89.0,0.3333333333333333,0.3333333333333333,9,16,3,6,18,6,30,9,32,28,35,5,1,1,7,3,10,2,3,16,15,50.0,50.0,33.3,43.8,20.0,3,1,4,4,0,5,2,8,6,0,60.0,50.0,50.0,66.7,0,3,0,0,0,0,7,1,0,3,6,42.9,0,0,0,0,0,0,8,2,0,2,0,8,4,6,2,0,16,6,6,0,0,0,4,4,3,1,3,0,2,2,2,0,1,1,3,0,1,0,3,1,0,2,0,0,1.0,0.0,-1.0,-1.0,-4.0
105.0,110.0,0.2,0.3,10,17,45,6,4,14,34,42,36,18,22,6,17,2,2,5,11,30,9,3,10,54.5,56.7,22.2,66.7,50.0,0,9,2,0,3,0,11,2,0,3,0,81.8,100.0,0,100.0,5,2,0,0,1,10,8,4,0,3,50.0,25.0,0,0,33.3,0,2,2,1,0,4,3,8,2,3,4,5,10,3,3,2,4,5,0,1,3,3,4,3,1,0,1,3,0,0,1,4,0,2,1,0,0,1,0,0,3.0,2.0,1.0,-1.0,-1.0
